Name,Recs,Yds,TDs,Msrecs,Msyards,MStds,RAS,Height,Weight,40,10,Vert,Broad,Shuttle,Round ,Pick,NFLCar,Starter,CarAV,GP,GS,NFLRecs,NFLYds,NFLTDs,Recs/Year,Yds/Year,Tds/Year
Quan Cosby-2007,60,680,5,0.216606498,0.204819277,0.227272727,2.92,68.625,196,4.57,1.6,,,4.47,8,500,4,0,0,44,0,6,71,0,1.5,17.75,0
Quan Cosby-2006,45,525,2,0.18442623,0.176470588,0.064516129,2.92,68.625,196,4.57,1.6,,,4.47,8,500,4,0,0,44,0,6,71,0,1.5,17.75,0
Arnaz Battle-2002,58,786,5,0.337209302,0.347173145,0.454545455,6.35,72.625,217,4.57,1.63,35,117,4.06,6,197,9,3,18,113,38,178,2150,11,19.77777778,238.8888889,1.222222222
Mike Williams-2009,49,746,6,0.213973799,0.304987735,0.375,8.12,76.625,229,4.57,1.6,36.5,,,4,101,5,3,25,63,52,223,3089,26,44.6,617.8,5.2
Mike Williams-2007,60,837,10,0.297029703,0.304363636,0.555555556,8.12,76.625,229,4.57,1.6,36.5,,,4,101,5,3,25,63,52,223,3089,26,44.6,617.8,5.2
Mike Williams-2003,95,1314,16,0.346715328,0.346610393,0.41025641,8.12,76.625,229,4.57,1.6,36.5,,,4,101,5,3,25,63,52,223,3089,26,44.6,617.8,5.2
Mike Williams-2002,81,1265,14,0.258785942,0.317201605,0.424242424,8.12,76.625,229,4.57,1.6,36.5,,,4,101,5,3,25,63,52,223,3089,26,44.6,617.8,5.2
Snoop Minnis-2000,63,1340,11,0.217241379,0.290798611,0.305555556,5.87,72.75,171,4.57,1.56,37.5,115,4.07,3,77,2,0,5,15,11,34,515,1,17,257.5,0.5
Ronald Bellamy-2002,46,530,5,0.177606178,0.175148711,0.238095238,3.08,72,208,4.58,1.63,30.5,119,4.1,8,500,1,0,0,2,0,1,8,0,1,8,0
Matt Trannon-2006,44,518,3,0.177419355,0.189674112,0.166666667,6.47,78,216,4.58,1.59,36.5,118,4.34,8,500,0,0,0,0,0,0,0,0,0,0,0
Matt Trannon-2005,40,573,4,0.158730159,0.176307692,0.166666667,6.47,78,216,4.58,1.59,36.5,118,4.34,8,500,0,0,0,0,0,0,0,0,0,0,0
Derek Abney-2003,51,616,5,0.247572816,0.253915911,0.277777778,3.72,69.25,179,4.58,1.61,33.5,120,4.08,7,244,0,0,0,0,0,0,0,0,0,0,0
Derek Abney-2002,40,569,4,0.205128205,0.238374529,0.166666667,3.72,69.25,179,4.58,1.61,33.5,120,4.08,7,244,0,0,0,0,0,0,0,0,0,0,0
Derek Abney-2001,66,741,6,0.261904762,0.244473771,0.260869565,3.72,69.25,179,4.58,1.61,33.5,120,4.08,7,244,0,0,0,0,0,0,0,0,0,0,0
Martin Nance-2005,81,1107,14,0.318897638,0.345074813,0.518518519,6.91,76.25,213,4.58,1.59,33.5,112,4.09,8,500,1,0,0,1,0,4,33,0,4,33,0
